"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://rotaractjpnagar.org/","text/html; charset=utf-8","200","OK","Indexable","","Rotaract Club of Bangalore JP Nagar","35","326","Official website of Rotaract Club of Bangalore JP Nagar, RI District 3191. Developing leadership through service and fellowship.","128","801","Rotaract Bangalore,Rotaract JP Nagar,Community Service,Rotary District 3191,Leadership,Fellowship","97","Rotaract Club of Bangalore JP Nagar","35","Grow your leadership","20","Rotaract in JP Nagar","20","Recent Projects","15","index, follow","","","https://rotaractjpnagar.org/","","","","","","92995","18408","18408","2.728","","1213","201","6.035","51.526","Fairly Hard","9.439","0","0","","28","8","0","100.000","27","8","0","8","6","0","","","","","ca3148def17d24b6a910fa4fb86bdbbb","0.369","","","","","en","1.1","","","","","","https://rotaractjpnagar.org/","2026-06-26 00:38:30"
"https://rotaractjpnagar.org/_next/static/chunks/a6dad97d9634a72d.js","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/static/chunks/a6dad97d9634a72d.js","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fteam%2Fanarghya.webp&w=3840&q=75","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fteam%2Fanarghya.webp&w=3840&q=75","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fteam%2Faishwarya.webp&w=3840&q=75","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fteam%2Faishwarya.webp&w=3840&q=75","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/static/chunks/448197eb45a506d3.js","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/static/chunks/448197eb45a506d3.js","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/static/chunks/13e34d2a3d650ba9.css","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/static/chunks/13e34d2a3d650ba9.css","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/static/chunks/4c8d020ea0258e4a.css","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/static/chunks/4c8d020ea0258e4a.css","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Flogos%2FRaCJPN-White-UniteForGood-Regular.png&w=384&q=75","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Flogos%2FRaCJPN-White-UniteForGood-Regular.png&w=384&q=75","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fteam%2Fsamarth.webp&w=3840&q=75","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fteam%2Fsamarth.webp&w=3840&q=75","2026-06-26 00:38:32"
"https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fhero%2Fslide-1.webp&w=3840&q=75","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://rotaractjpnagar.org/_next/image?url=%2Fimages%2Fhero%2Fslide-1.webp&w=3840&q=75","2026-06-26 00:38:32"
